WordInds,LexSemErr,ONsize,Frequency,Concreteness,ItemCrossedThreshold,Constraint_name,IsExpected_name,Constraint_code,IsExpected_code,Word
115.0,322.3451356298944,7.0,0.026714782,1.0,1.0,LowConstraint,Unexpected,-1,-1,blob
463.0,267.09662216547036,3.0,0.023797268,-1.0,1.0,LowConstraint,Unexpected,-1,-1,blip
149.0,258.79014424089416,3.0,0.027677688,-1.0,1.0,LowConstraint,Unexpected,-1,-1,daft
329.0,230.6705683178556,2.0,0.044803009,-1.0,1.0,LowConstraint,Unexpected,-1,-1,july
391.0,310.2785506750327,7.0,0.023417505,1.0,1.0,LowConstraint,Unexpected,-1,-1,carp
189.0,239.00283226777978,3.0,0.010836738,-1.0,1.0,LowConstraint,Unexpected,-1,-1,skew
450.0,211.0571935070243,0.0,0.038485628,1.0,1.0,LowConstraint,Unexpected,-1,-1,ammo
415.0,329.30914506013767,12.0,0.03816706,1.0,1.0,LowConstraint,Unexpected,-1,-1,hunk
317.0,277.7534121138091,3.0,0.044059682,1.0,1.0,LowConstraint,Unexpected,-1,-1,shed
225.0,304.143425777496,5.0,0.023219524,1.0,1.0,LowConstraint,Unexpected,-1,-1,sift
167.0,290.5947527344887,6.0,0.014630766,1.0,1.0,LowConstraint,Unexpected,-1,-1,nape
106.0,257.35663441709323,2.0,0.016727561,-1.0,1.0,LowConstraint,Unexpected,-1,-1,airy
228.0,294.9213398082892,10.0,0.054673242,-1.0,1.0,LowConstraint,Unexpected,-1,-1,form
201.0,278.73481321516806,8.0,0.026842569,-1.0,1.0,LowConstraint,Unexpected,-1,-1,bony
298.0,326.6078886986172,12.0,0.03132413,1.0,1.0,LowConstraint,Unexpected,-1,-1,lice
285.0,316.3336688187602,9.0,0.043732114,1.0,1.0,LowConstraint,Unexpected,-1,-1,pork
378.0,303.66852961705166,6.0,0.038710606,1.0,1.0,LowConstraint,Unexpected,-1,-1,grid
