WordInds,LexSemErr,ONsize,Frequency,Concreteness,ItemCrossedThreshold,SemanticRelatedness_name,SemanticRelatedness_code,Word
488.0,217.48407656885192,0.0,0.036705603,1.0,1.0,semunrelated,-1,iced
436.0,302.06836088646645,8.0,0.047185976,-1.0,1.0,semunrelated,-1,math
299.0,298.42597924194934,4.0,0.021167726,-1.0,1.0,semunrelated,-1,blab
365.0,242.63783375005445,1.0,0.012580767,1.0,1.0,semunrelated,-1,cyan
469.0,241.4649330073477,12.0,0.040326848,-1.0,1.0,semunrelated,-1,pose
473.0,311.40709497881284,10.0,0.032866579,-1.0,1.0,semunrelated,-1,mend
285.0,318.3868951975574,9.0,0.043732114,1.0,1.0,semunrelated,-1,pork
342.0,299.9830295675003,9.0,0.026586994,1.0,1.0,semunrelated,-1,spam
322.0,310.2216740019107,5.0,0.028224834,1.0,1.0,semunrelated,-1,wasp
408.0,262.8261210992589,2.0,0.024677382,1.0,1.0,semunrelated,-1,acne
308.0,235.1492673612891,2.0,0.055420169,-1.0,1.0,semunrelated,-1,plus
332.0,252.91982560716124,3.0,0.025161534,-1.0,1.0,semunrelated,-1,racy
496.0,249.91350211168628,11.0,0.038764601,-1.0,1.0,semunrelated,-1,lust
329.0,239.19218819895468,2.0,0.044803009,-1.0,1.0,semunrelated,-1,july
291.0,286.35437180974793,5.0,0.018743363,-1.0,1.0,semunrelated,-1,wisp
494.0,237.87643031222836,1.0,0.041257357,-1.0,1.0,semunrelated,-1,ahem
339.0,299.7761753644355,11.0,0.026047047,-1.0,1.0,semunrelated,-1,gore
451.0,324.88864744632303,9.0,0.040415039,1.0,1.0,semunrelated,-1,bolt
413.0,274.1655768219048,6.0,0.026047047,-1.0,1.0,semunrelated,-1,rift
310.0,334.33568347707774,15.0,0.042952791,1.0,1.0,semunrelated,-1,mill
440.0,236.76466454831387,14.0,0.050458055,-1.0,1.0,semunrelated,-1,rate
491.0,299.5026475245773,7.0,0.02500315,-1.0,1.0,semunrelated,-1,blot
341.0,238.0021098542718,3.0,0.065799752,-1.0,1.0,semunrelated,-1,free
351.0,175.40683422168698,8.0,0.018379799,1.0,1.0,semunrelated,-1,vise
460.0,296.0739692740278,11.0,0.005419269,-1.0,1.0,semunrelated,-1,balk
368.0,305.8677443890134,5.0,0.036113461,1.0,1.0,semunrelated,-1,mutt
260.0,246.31931492180735,2.0,0.027791076,1.0,1.0,semunrelated,-1,twig
424.0,291.8495683066254,4.0,0.007163298,1.0,1.0,semunrelated,-1,jowl
301.0,221.19620333130916,2.0,0.046041288,-1.0,1.0,semunrelated,-1,self
278.0,231.15033696149573,0.0,0.010836738,1.0,1.0,semunrelated,-1,ovum
417.0,327.8813025488113,12.0,0.03837224,1.0,1.0,semunrelated,-1,dose
482.0,299.31840091426795,10.0,0.038654812,-1.0,1.0,semunrelated,-1,warp
259.0,307.88782584235986,8.0,0.041136769,1.0,1.0,semunrelated,-1,bass
256.0,257.7706577078905,4.0,0.023797268,-1.0,1.0,semunrelated,-1,drab
302.0,212.94938209450842,0.0,0.028834974,1.0,1.0,semunrelated,-1,quad
325.0,300.5192929115984,5.0,0.045186372,1.0,1.0,semunrelated,-1,chin
