WordInds,LexSemErr,ONsize,Frequency,Concreteness,ItemCrossedThreshold,IsWord_name,IsNeighborofExpected_name,IsWord_code,IsNeighborofExpected_code,Word
971.0,120.46067056223282,2.0,0.013325894,-1.0,1.0,Word,Neighbor,1,1,etch
991.0,125.65838989444975,1.0,0.028010655,-1.0,1.0,Word,Neighbor,1,1,ogre
347.0,99.29013063600178,1.0,0.019423696,-1.0,1.0,Word,Neighbor,1,1,ajar
1027.0,136.48706476915035,10.0,0.057326182,-1.0,1.0,Word,Neighbor,1,1,nick
1187.0,128.28217060469908,10.0,0.039398139,-1.0,1.0,Word,Neighbor,1,1,dash
725.0,146.80114705017763,4.0,0.022593186,-1.0,1.0,Word,Neighbor,1,1,axes
1427.0,143.3038085742478,4.0,0.035173953,-1.0,1.0,Word,Neighbor,1,1,brag
550.0,144.06223955654872,9.0,0.031180144,-1.0,1.0,Word,Neighbor,1,1,beak
521.0,127.83174440948532,9.0,0.048854412,-1.0,0.0,Word,Neighbor,1,1,sand
66.0,143.1054758598944,8.0,0.043960692,1.0,0.0,Word,Neighbor,1,1,torn
563.0,139.42221179659214,8.0,0.016254207,-1.0,0.0,Word,Neighbor,1,1,leek
659.0,139.1000593016517,3.0,0.066553878,-1.0,1.0,Word,Neighbor,1,1,body
1331.0,138.8255766700142,3.0,0.047675528,-1.0,1.0,Word,Neighbor,1,1,term
1045.0,136.51229888735435,4.0,0.063013625,-1.0,1.0,Word,Neighbor,1,1,boss
1064.0,147.00615535948273,4.0,0.032069257,-1.0,1.0,Word,Neighbor,1,1,duel
1275.0,171.30795112023043,8.0,0.022373607,-1.0,1.0,Word,Neighbor,1,1,rant
876.0,141.01994644377174,8.0,0.022593186,-1.0,0.0,Word,Neighbor,1,1,goop
361.0,137.34060427633398,5.0,0.052416263,1.0,0.0,Word,Neighbor,1,1,soft
1223.0,137.2118884524176,5.0,0.071204622,-1.0,0.0,Word,Neighbor,1,1,play
923.0,146.50141880782797,11.0,0.054608448,-1.0,0.0,Word,Neighbor,1,1,feed
496.0,135.48143719183787,11.0,0.038764601,-1.0,0.0,Word,Neighbor,1,1,lust
1434.0,162.66105722959168,13.0,0.068274509,-1.0,1.0,Word,Neighbor,1,1,gave
85.0,139.50510142715763,13.0,0.033590108,1.0,0.0,Word,Neighbor,1,1,pest
865.0,140.7975978103764,4.0,0.02744911,-1.0,1.0,Word,Neighbor,1,1,burp
1550.0,143.7645090404307,4.0,0.092944691,-1.0,0.0,Word,Neighbor,1,1,know
1516.0,138.13576360244252,2.0,0.030733788,-1.0,1.0,Word,Neighbor,1,1,loco
1276.0,148.02270389120196,2.0,0.015750256,-1.0,1.0,Word,Neighbor,1,1,exes
1316.0,153.93039666974184,7.0,0.030094851,-1.0,1.0,Word,Neighbor,1,1,wilt
856.0,129.17767017707598,7.0,0.036952179,-1.0,1.0,Word,Neighbor,1,1,hump
395.0,175.4000441956867,3.0,0.027090945,1.0,1.0,Word,Neighbor,1,1,kelp
409.0,136.4776006131603,3.0,0.025906661,-1.0,1.0,Word,Neighbor,1,1,cuss
1151.0,161.03437022479162,6.0,0.058622055,-1.0,1.0,Word,Neighbor,1,1,grab
330.0,169.32587457449947,6.0,0.020345206,1.0,1.0,Word,Neighbor,1,1,leer
688.0,171.0307423673863,12.0,0.047434351,-1.0,1.0,Word,Neighbor,1,1,sink
541.0,146.5616016803692,12.0,0.052419863,-1.0,0.0,Word,Neighbor,1,1,gate
295.0,151.08086438286915,9.0,0.033590108,1.0,0.0,Word,Neighbor,1,1,cork
96.0,136.71695121664067,9.0,0.040393441,1.0,0.0,Word,Neighbor,1,1,cunt
1055.0,157.5738887513025,9.0,0.050747827,-1.0,1.0,Word,Neighbor,1,1,hunt
1161.0,149.47046449723314,9.0,0.0775472,-1.0,0.0,Word,Neighbor,1,1,work
1149.0,162.16303406099357,10.0,0.066568276,-1.0,1.0,Word,Neighbor,1,1,cool
948.0,155.63695731542015,10.0,0.040931589,-1.0,1.0,Word,Neighbor,1,1,tide
417.0,148.27936030883558,12.0,0.03837224,1.0,0.0,Word,Neighbor,1,1,dose
1138.0,137.04801766432155,12.0,0.068195317,-1.0,0.0,Word,Neighbor,1,1,read
1046.0,161.5264710436664,13.0,0.054867623,-1.0,1.0,Word,Neighbor,1,1,pack
540.0,129.96234837731555,13.0,0.054021706,-1.0,0.0,Word,Neighbor,1,1,bell
429.0,163.2776096374161,7.0,0.039270352,1.0,1.0,Word,Neighbor,1,1,peak
615.0,148.73633864222302,7.0,0.034155253,-1.0,0.0,Word,Neighbor,1,1,shin
163.0,175.84110254341797,4.0,0.057405374,-1.0,0.0,Word,Neighbor,1,1,type
1164.0,123.519542748542,4.0,0.037020572,-1.0,1.0,Word,Neighbor,1,1,puff
803.0,154.858183489257,6.0,0.045733518,-1.0,1.0,Word,Neighbor,1,1,chop
619.0,140.35223704323454,6.0,0.018743363,-1.0,1.0,Word,Neighbor,1,1,husk
