WordInds,LexSemErr,ONsize,Frequency,Concreteness,ItemCrossedThreshold,Repeated_name,Repeated_code,Word
13.0,295.92370745534134,8.0,0.019742265,-1.0,1.0,unrepeated,-1,bode
373.0,306.57398125156135,11.0,0.049061392,-1.0,1.0,unrepeated,-1,cure
365.0,236.30298378162624,1.0,0.012580767,1.0,1.0,unrepeated,-1,cyan
192.0,260.9882733715158,3.0,0.049264772,-1.0,1.0,unrepeated,-1,deny
318.0,231.3896210167439,0.0,0.053141592,-1.0,1.0,unrepeated,-1,liar
2.0,259.56902205648606,5.0,0.042052879,1.0,1.0,unrepeated,-1,robe
215.0,306.3138053666823,8.0,0.044990191,1.0,1.0,unrepeated,-1,tire
469.0,319.2172410175025,12.0,0.040326848,-1.0,1.0,unrepeated,-1,pose
405.0,286.3347206179397,3.0,0.025316319,1.0,1.0,unrepeated,-1,gulp
251.0,271.13051293367397,4.0,0.012580767,-1.0,1.0,unrepeated,-1,fiat
443.0,281.19179946975964,4.0,0.041626321,1.0,1.0,unrepeated,-1,tray
70.0,310.4754756782448,14.0,0.03458721,-1.0,1.0,unrepeated,-1,cope
434.0,223.96815135541792,1.0,0.067378197,-1.0,1.0,unrepeated,-1,goes
337.0,286.1796121848751,4.0,0.017175717,1.0,1.0,unrepeated,-1,hemp
41.0,313.4931495625524,7.0,0.04315977,1.0,1.0,unrepeated,-1,silk
250.0,299.1809949193837,5.0,0.040951387,1.0,1.0,unrepeated,-1,monk
283.0,222.170125080913,0.0,0.029927467,1.0,1.0,unrepeated,-1,hobo
465.0,285.57751698669097,5.0,0.049149583,1.0,1.0,unrepeated,-1,horn
187.0,213.63703890775486,1.0,0.050782023,-1.0,1.0,unrepeated,-1,amen
297.0,297.4406916491861,6.0,0.041376145,1.0,1.0,unrepeated,-1,soil
134.0,267.6327353261046,3.0,0.027791076,-1.0,1.0,unrepeated,-1,duly
40.0,327.03746887680575,12.0,0.022593186,1.0,1.0,unrepeated,-1,gash
372.0,271.99353180602503,4.0,0.030656396,1.0,1.0,unrepeated,-1,barf
22.0,250.12441912457484,5.0,0.037895286,1.0,1.0,unrepeated,-1,herb
409.0,250.67302754976043,3.0,0.025906661,-1.0,1.0,unrepeated,-1,cuss
147.0,314.34716936014604,7.0,0.040121668,1.0,1.0,unrepeated,-1,disk
299.0,297.3113655301995,4.0,0.021167726,-1.0,1.0,unrepeated,-1,blab
370.0,264.1872439058168,3.0,0.023797268,-1.0,1.0,unrepeated,-1,clog
102.0,275.6578011639964,6.0,0.032808985,-1.0,1.0,unrepeated,-1,reap
144.0,282.3254204233016,6.0,0.027330322,-1.0,1.0,unrepeated,-1,posh
186.0,264.4647922488615,3.0,0.043804107,1.0,1.0,unrepeated,-1,lamb
111.0,264.2315309523909,1.0,0.015210309,1.0,1.0,unrepeated,-1,peso
122.0,300.05746913932256,11.0,0.012580767,-1.0,1.0,unrepeated,-1,seep
169.0,214.91500598996117,1.0,0.052682637,-1.0,1.0,unrepeated,-1,jerk
275.0,282.172154621842,12.0,0.05009989,-1.0,1.0,unrepeated,-1,wide
219.0,219.60298278090468,1.0,0.068576879,-1.0,1.0,unrepeated,-1,each
67.0,274.5539072452539,6.0,0.052290276,-1.0,1.0,unrepeated,-1,weak
103.0,227.16107886667947,2.0,0.020903151,-1.0,1.0,unrepeated,-1,awry
243.0,324.73478099971504,12.0,0.029754684,1.0,1.0,unrepeated,-1,sage
432.0,225.8131136599199,2.0,0.037834092,1.0,1.0,unrepeated,-1,quiz
394.0,310.3375117143483,6.0,0.012580767,1.0,1.0,unrepeated,-1,posy
448.0,249.1503567802052,2.0,0.012580767,-1.0,1.0,unrepeated,-1,serf
89.0,286.32149457653037,4.0,0.022593186,1.0,1.0,unrepeated,-1,lube
38.0,321.2538194252046,16.0,0.041907093,-1.0,1.0,unrepeated,-1,bare
358.0,340.3467667827627,16.0,0.041907093,1.0,1.0,unrepeated,-1,cane
113.0,320.78813560049923,11.0,0.036741599,1.0,1.0,unrepeated,-1,mold
15.0,249.77813409844248,5.0,0.052113893,-1.0,1.0,unrepeated,-1,tour
5.0,270.22682062730297,15.0,0.050603841,-1.0,1.0,unrepeated,-1,sale
308.0,227.80778480334598,2.0,0.055420169,-1.0,1.0,unrepeated,-1,plus
502.0,213.52947382097514,2.0,0.058316085,-1.0,1.0,unrepeated,-1,holy
360.0,282.71076483298884,7.0,0.044752614,1.0,1.0,unrepeated,-1,clay
495.0,228.57421901896586,6.0,0.052358669,-1.0,1.0,unrepeated,-1,harm
52.0,291.87954384291214,12.0,0.046996994,-1.0,1.0,unrepeated,-1,rape
490.0,225.93280839405344,1.0,0.016254207,-1.0,1.0,unrepeated,-1,crux
424.0,245.75451783619778,4.0,0.007163298,1.0,1.0,unrepeated,-1,jowl
422.0,280.0170655622914,3.0,0.043643923,1.0,1.0,unrepeated,-1,plug
354.0,235.83947220716954,2.0,0.038255251,-1.0,1.0,unrepeated,-1,heir
386.0,286.2323494627741,6.0,0.034301038,-1.0,1.0,unrepeated,-1,frat
206.0,301.1853694944779,15.0,0.026047047,1.0,1.0,unrepeated,-1,soot
398.0,292.29485413806725,7.0,0.037614514,-1.0,1.0,unrepeated,-1,mild
191.0,274.3834441910683,7.0,0.033537913,1.0,1.0,unrepeated,-1,moss
504.0,277.252039629543,3.0,0.017598675,-1.0,1.0,unrepeated,-1,wiry
43.0,234.3256793310749,1.0,0.023417505,1.0,1.0,unrepeated,-1,yogi
304.0,324.1053465450692,10.0,0.025762675,1.0,1.0,unrepeated,-1,mead
412.0,304.8535357055754,9.0,0.025316319,1.0,1.0,unrepeated,-1,hive
406.0,193.80090603946655,0.0,0.042968989,-1.0,1.0,unrepeated,-1,envy
473.0,311.40709497881284,10.0,0.032866579,-1.0,1.0,unrepeated,-1,mend
181.0,303.5792797575942,7.0,0.031806483,1.0,1.0,unrepeated,-1,tong
506.0,301.1059548544978,9.0,0.044964993,-1.0,1.0,unrepeated,-1,fond
254.0,282.28143421711496,6.0,0.020903151,1.0,1.0,unrepeated,-1,kale
470.0,233.19366206696927,2.0,0.048883209,-1.0,1.0,unrepeated,-1,josh
224.0,297.08553481615775,8.0,0.032004464,-1.0,1.0,unrepeated,-1,cant
48.0,235.4900356648572,2.0,0.030260434,1.0,1.0,unrepeated,-1,fuzz
468.0,258.7953222824708,4.0,0.027564299,-1.0,1.0,unrepeated,-1,twat
184.0,321.3888179196394,14.0,0.044016486,-1.0,1.0,unrepeated,-1,lame
