WordInds,LexSemErr,ONsize,Frequency,Concreteness,ItemCrossedThreshold,Word
32.0,278.59045956029513,9.0,0.00979284,-1.0,1.0,jell
33.0,276.91807709456026,6.0,0.038226454,1.0,1.0,leaf
34.0,224.2317340603051,2.0,0.00979284,-1.0,1.0,awed
35.0,240.68927075519204,0.0,0.021671676,1.0,1.0,euro
36.0,262.6423000031241,3.0,0.041136769,-1.0,1.0,prep
37.0,260.39916314317736,1.0,0.045755116,1.0,1.0,poem
38.0,326.9309147382005,16.0,0.041907093,-1.0,1.0,bare
39.0,315.48550788893306,9.0,0.02949011,1.0,1.0,lard
40.0,324.59803208309523,12.0,0.022593186,1.0,1.0,gash
41.0,306.0867665676424,7.0,0.04315977,1.0,1.0,silk
42.0,277.55549931735993,6.0,0.037223952,-1.0,1.0,flee
43.0,228.54007859767745,1.0,0.023417505,1.0,1.0,yogi
44.0,282.45730242518334,5.0,0.008588758,-1.0,1.0,plod
45.0,225.82053250485683,2.0,0.046784615,1.0,1.0,exit
46.0,228.12192693379296,1.0,0.056046507,-1.0,1.0,duty
47.0,311.8149766613448,13.0,0.023016144,-1.0,1.0,hone
48.0,227.86455273262436,2.0,0.030260434,1.0,1.0,fuzz
49.0,333.5666263179315,13.0,0.034680801,1.0,1.0,lime
50.0,263.649885800962,3.0,0.038681809,-1.0,1.0,prey
51.0,309.02954159470653,9.0,0.023797268,-1.0,1.0,bunt
52.0,298.3162216327113,12.0,0.046996994,-1.0,1.0,rape
53.0,335.2353813653601,13.0,0.037772898,1.0,1.0,gale
54.0,244.5948520032748,1.0,0.021912853,-1.0,1.0,spry
55.0,292.643429756165,5.0,0.046106082,1.0,1.0,flip
56.0,320.720304094191,15.0,0.032981768,-1.0,1.0,fore
57.0,287.82866906017784,7.0,0.044479041,-1.0,1.0,plot
58.0,250.97105692050332,2.0,0.025906661,-1.0,1.0,tier
59.0,310.89691670605697,11.0,0.042177067,1.0,1.0,fold
60.0,270.21150188689074,3.0,0.04755134,1.0,1.0,fuel
