words,ONsize,frequency,concreteness
verb,2.0,0.025906661,0
goon,9.0,0.031806483,0
crop,6.0,0.037709904,1
blog,5.0,0.02214683,1
frat,6.0,0.034301038,0
inch,1.0,0.044990191,1
warn,11.0,0.050591242,0
aqua,0.0,0.027902666,0
high,2.0,0.06653228,0
carp,7.0,0.023417505,1
pimp,5.0,0.042177067,1
earn,5.0,0.046674826,0
posy,6.0,0.012580767,1
kelp,3.0,0.027090945,1
corn,9.0,0.046073685,1
heft,2.0,0.013325894,0
mild,7.0,0.037614514,0
slit,10.0,0.035798492,0
pump,10.0,0.045161174,1
soup,4.0,0.050542647,1
toil,7.0,0.025467504,0
cowl,7.0,0.008588758,1
link,10.0,0.044713018,0
gulp,3.0,0.025316319,1
envy,0.0,0.042968989,0
sass,4.0,0.024841166,0
acne,2.0,0.024677382,1
cuss,3.0,0.025906661,0
slut,8.0,0.044318857,0
turf,3.0,0.036705603,1
hive,9.0,0.025316319,1
rift,6.0,0.026047047,0
poor,5.0,0.063308796,0
hunk,12.0,0.03816706,1
pane,13.0,0.019742265,1
dose,12.0,0.03837224,1
mono,1.0,0.023016144,0
stub,4.0,0.025161534,1
poof,7.0,0.031394323,0
worn,11.0,0.043390148,0
plug,3.0,0.043643923,1
john,1.0,0.066480085,0
jowl,4.0,0.007163298,1
lion,1.0,0.046674826,1
flew,7.0,0.046694624,0
numb,1.0,0.037740501,0
yarn,6.0,0.029027555,1
peak,7.0,0.039270352,1
slur,6.0,0.019742265,0
veer,5.0,0.026047047,0
quiz,2.0,0.037834092,1
zips,0.0,0.017175717,0
goes,1.0,0.067378197,0
germ,2.0,0.027211533,1
math,8.0,0.047185976,0
bile,11.0,0.023610086,1
gape,9.0,0.005419269,0
beep,11.0,0.039981282,1
rate,14.0,0.050458055,0
oath,4.0,0.043237163,0
stag,7.0,0.029027555,1
tray,4.0,0.041626321,1
mice,11.0,0.040051475,1
newt,4.0,0.027677688,1
musk,8.0,0.020629578,0
dyer,2.0,0.019742265,0
serf,2.0,0.012580767,0
gimp,3.0,0.02500315,1
ammo,0.0,0.038485628,1
bolt,9.0,0.040415039,1
unto,3.0,0.041217761,0
punt,10.0,0.023016144,1
dote,11.0,0.014006227,0
mode,9.0,0.03816706,0
pail,12.0,0.02500315,1
oxen,3.0,0.019090729,1
hull,13.0,0.036599413,1
hush,9.0,0.041196163,0
balk,11.0,0.005419269,0
loaf,3.0,0.037054769,1
babe,5.0,0.053236983,0
blip,3.0,0.023797268,0
bean,13.0,0.040371844,1
horn,5.0,0.049149583,1
anus,0.0,0.026185634,1
gill,13.0,0.029580101,1
twat,4.0,0.027564299,0
pose,12.0,0.040326848,0
josh,2.0,0.048883209,0
gaze,8.0,0.032629002,0
cram,4.0,0.028636994,0
mend,10.0,0.032866579,0
wren,1.0,0.017998236,1
dusk,8.0,0.026842569,1
void,0.0,0.036378035,0
bunk,12.0,0.03969511,1
noon,8.0,0.047967099,0
auto,1.0,0.041257357,1
cord,10.0,0.040569824,1
boon,10.0,0.031252137,0
warp,10.0,0.038654812,0
flap,9.0,0.032981768,1
clue,3.0,0.047745721,0
coed,2.0,0.0214251,0
czar,0.0,0.022593186,1
stir,1.0,0.039218157,1
iced,0.0,0.036705603,1
flop,7.0,0.03193787,1
crux,1.0,0.016254207,0
blot,7.0,0.02500315,0
smog,1.0,0.026047047,1
hike,8.0,0.04000468,1
ahem,1.0,0.041257357,0
harm,6.0,0.052358669,0
lust,11.0,0.038764601,0
pore,17.0,0.019742265,1
saga,1.0,0.023610086,0
pike,10.0,0.037258149,1
rung,7.0,0.028010655,0
tied,2.0,0.051008801,1
holy,2.0,0.058316085,0
spur,5.0,0.028224834,1
wiry,3.0,0.017598675,0
tony,5.0,0.058379079,0
fond,9.0,0.044964993,0
mull,10.0,0.019742265,0
geek,6.0,0.040460035,1
kiwi,0.0,0.023610086,1
tube,4.0,0.047205774,1
tush,8.0,0.02744911,1
baby,1.0,0.074037544,0
ball,16.0,0.061692554,0
fish,3.0,0.059903529,0
tree,4.0,0.057947121,0
neck,3.0,0.057257789,0
dogs,2.0,0.056356077,0
bird,1.0,0.055151995,0
bike,9.0,0.050753226,0
doll,8.0,0.05040766,0
sand,9.0,0.048854412,0
cage,12.0,0.048845413,0
knee,1.0,0.04632926,0
goat,6.0,0.043732114,0
mule,7.0,0.040569824,0
comb,5.0,0.039423337,0
vase,6.0,0.035879484,0
fern,0.0,0.034445024,0
sled,6.0,0.033748493,0
kite,5.0,0.031873076,0
hair,5.0,0.064665863,0
suit,5.0,0.05837008,0
arms,2.0,0.057295585,0
rain,7.0,0.055724339,0
coat,9.0,0.054549054,0
shoe,3.0,0.052007703,0
soda,1.0,0.04867803,0
lamp,8.0,0.04530516,0
oven,5.0,0.042405644,0
bell,13.0,0.054021706,0
gate,12.0,0.052419863,0
tail,12.0,0.050132287,0
mask,7.0,0.048663631,0
tent,14.0,0.047693526,0
cave,16.0,0.045944097,0
swan,8.0,0.040348446,0
colt,10.0,0.038284048,0
cafe,9.0,0.038017674,0
mayo,0.0,0.03458721,0
beak,9.0,0.031180144,0
lint,9.0,0.027677688,0
boat,9.0,0.060978024,0
hill,13.0,0.053659941,0
rope,12.0,0.049730926,0
nail,10.0,0.048192077,0
soap,6.0,0.046595634,0
lawn,4.0,0.044977592,0
fist,7.0,0.040931589,0
text,4.0,0.038284048,0
taco,2.0,0.034203848,0
pear,13.0,0.027677688,0
milk,5.0,0.054633646,0
leek,8.0,0.016254207,0
rock,9.0,0.060150105,0
sock,11.0,0.042490236,0
book,11.0,0.065774554,0
card,9.0,0.060083512,0
tape,9.0,0.058397077,0
foot,12.0,0.057938122,0
rose,12.0,0.056356077,0
moon,8.0,0.055891723,0
meat,12.0,0.054835226,0
page,8.0,0.053647343,0
bone,14.0,0.050807221,0
belt,10.0,0.050278073,0
weed,10.0,0.044597829,0
dish,6.0,0.04438725,0
worm,9.0,0.043420745,0
fork,9.0,0.042353449,0
pony,5.0,0.041683915,0
crab,5.0,0.040438437,0
pond,3.0,0.039767103,0
sofa,2.0,0.039165962,0
bead,12.0,0.026320621,0
nose,10.0,0.058497867,0
salt,4.0,0.048546642,0
coin,5.0,0.043127374,0
cart,11.0,0.042540631,0
tuna,2.0,0.041588524,0
clam,8.0,0.036036068,0
flea,5.0,0.034725797,0
hoof,8.0,0.029668293,0
wart,16.0,0.027090945,0
beer,11.0,0.059117007,0
bear,19.0,0.056977016,0
lake,13.0,0.053330574,0
pipe,6.0,0.048498047,0
hood,9.0,0.046694624,0
hare,16.0,0.035839888,0
face,10.0,0.069611778,0
ship,8.0,0.0612264,0
desk,3.0,0.054880222,0
bowl,6.0,0.04928637,0
knot,4.0,0.035555516,0
wall,11.0,0.058602257,0
dirt,3.0,0.050693832,0
duck,14.0,0.05040766,0
wing,9.0,0.048831015,0
rice,12.0,0.04653444,0
nest,12.0,0.044142474,0
dice,11.0,0.04367272,0
deer,11.0,0.04224906,0
heel,7.0,0.040972985,0
wool,6.0,0.034349634,0
shin,7.0,0.034155253,0
cone,15.0,0.033748493,0
tofu,0.0,0.033096956,0
tuba,2.0,0.026842569,0
husk,6.0,0.018743363,0
puma,1.0,0.010836738,0
girl,1.0,0.074737676,0
eyes,2.0,0.067531182,0
snow,6.0,0.052250679,0
bath,6.0,0.052193085,0
bull,12.0,0.051230179,0
wood,7.0,0.051082594,0
dime,10.0,0.044790411,0
lace,11.0,0.035596912,0
foam,3.0,0.035173953,0
plum,5.0,0.034952575,0
disc,3.0,0.032749591,0
tarp,4.0,0.025316319,0
bomb,4.0,0.056447868,0
rake,14.0,0.033903277,0
jail,10.0,0.058596858,0
mall,13.0,0.048298267,0
coke,12.0,0.048168679,0
poop,10.0,0.038793398,0
claw,7.0,0.036881986,0
gnat,2.0,0.019090729,0
yoke,5.0,0.019090729,0
aloe,0.0,0.016254207,0
yard,5.0,0.050501251,0
lung,5.0,0.041815302,0
lava,1.0,0.035042566,0
door,3.0,0.06969097,0
ring,10.0,0.060726049,0
gold,9.0,0.059466172,0
hole,11.0,0.057086805,0
cake,17.0,0.055083602,0
mace,12.0,0.035130757,0
rump,8.0,0.028118644,0
food,9.0,0.064710858,0
tank,8.0,0.050670434,0
jeep,7.0,0.043541333,0
boar,4.0,0.031464516,0
beet,10.0,0.015750256,0
room,8.0,0.072885657,0
body,3.0,0.066553878,0
city,2.0,0.065419989,0
wine,16.0,0.057367578,0
skin,7.0,0.054905419,0
hook,12.0,0.053753532,0
roof,7.0,0.053253181,0
wolf,2.0,0.048845413,0
flag,6.0,0.047693526,0
cola,3.0,0.038710606,0
bank,12.0,0.060042116,0
seat,16.0,0.059449974,0
oats,3.0,0.031034359,0
okra,0.0,0.020345206,0
yolk,1.0,0.018743363,0
pool,8.0,0.05541117,0
deck,6.0,0.050087291,0
ruby,0.0,0.044687821,0
cape,13.0,0.041815302,0
bats,4.0,0.039423337,0
mitt,4.0,0.027902666,0
tusk,6.0,0.015210309,0
head,11.0,0.071571786,0
road,5.0,0.062194705,0
butt,4.0,0.053868721,0
veal,9.0,0.035260344,0
mare,18.0,0.033696298,0
knob,3.0,0.032386026,0
park,9.0,0.058758842,0
beef,6.0,0.048624035,0
sink,12.0,0.047434351,0
duct,3.0,0.034301038,0
piss,6.0,0.050027897,0
tomb,3.0,0.038847393,0
wand,8.0,0.034155253,0
toga,1.0,0.024841166,0
mane,15.0,0.0214251,0
yoyo,0.0,0.015750256,0
hand,7.0,0.069350804,0
wire,13.0,0.051230179,0
fort,10.0,0.046714422,0
pill,13.0,0.044635626,0
bees,5.0,0.038429834,0
film,3.0,0.057977718,0
chip,7.0,0.048973201,0
spit,7.0,0.048483649,0
pope,11.0,0.043861702,0
seed,15.0,0.041156567,0
scab,7.0,0.021912853,0
silt,9.0,0.017175717,0
whey,2.0,0.007163298,0
army,1.0,0.06010691,0
limo,4.0,0.042034881,0
reef,4.0,0.036190853,0
gong,6.0,0.032323032,0
star,9.0,0.059700149,0
mail,15.0,0.053512356,0
lily,1.0,0.051042998,0
bald,6.0,0.043112975,0
ramp,7.0,0.033644103,0
moth,4.0,0.031806483,0
moat,7.0,0.026714782,0
fire,10.0,0.067313403,0
bill,14.0,0.062637462,0
band,10.0,0.056413671,0
whip,5.0,0.045470744,0
tile,12.0,0.031252137,0
axes,4.0,0.022593186,0
hall,15.0,0.056194093,0
buck,11.0,0.052824823,0
sash,10.0,0.026455607,0
lane,13.0,0.052747431,0
pole,13.0,0.045125178,0
coal,7.0,0.040051475,0
mike,11.0,0.062192905,0
lock,12.0,0.056861828,0
town,4.0,0.068409496,0
jury,3.0,0.054676842,0
maid,6.0,0.049770522,0
dock,11.0,0.043127374,0
slug,6.0,0.037864689,0
lens,3.0,0.037389536,0
slaw,9.0,0.017175717,0
seal,11.0,0.046359857,0
vein,2.0,0.035344936,0
dent,11.0,0.035217149,0
meth,4.0,0.032069257,0
stem,4.0,0.031671496,0
sign,1.0,0.063558971,0
meal,10.0,0.051604543,0
rash,11.0,0.041626321,0
pier,2.0,0.040028077,0
cube,4.0,0.033903277,0
fizz,1.0,0.021671676,0
kids,2.0,0.069928547,0
note,7.0,0.05643347,0
gown,4.0,0.040028077,0
peel,8.0,0.038458631,0
tool,8.0,0.043890499,0
farm,6.0,0.051915912,0
iron,1.0,0.047891507,0
puke,5.0,0.039669912,0
arch,0.0,0.035555516,0
suds,0.0,0.019742265,0
sill,14.0,0.019423696,0
mink,13.0,0.035596912,0
land,9.0,0.060324688,0
surf,3.0,0.0397923,0
cove,11.0,0.03458721,0
deli,1.0,0.031252137,0
malt,6.0,0.029308328,0
buoy,2.0,0.026714782,0
gift,4.0,0.057887727,0
tear,15.0,0.051082594,0
site,8.0,0.048427854,0
vent,10.0,0.036952179,0
lump,8.0,0.035260344,0
rink,11.0,0.03132413,0
coil,8.0,0.029122946,0
wave,14.0,0.049214377,0
fuse,4.0,0.037709904,0
step,4.0,0.06265186,0
iris,0.0,0.03837224,0
dike,12.0,0.018743363,0
yoga,2.0,0.037020572,0
jump,6.0,0.058506866,0
golf,4.0,0.050645237,0
vest,11.0,0.038764601,0
bark,13.0,0.038654812,0
axel,2.0,0.032808985,0
rust,11.0,0.032508414,0
honk,6.0,0.032197045,0
barb,5.0,0.03193787,0
mist,9.0,0.035260344,0
game,12.0,0.067952341,0
line,16.0,0.066969637,0
loot,14.0,0.035260344,0
puck,12.0,0.033644103,0
axle,1.0,0.027090945,0
mime,8.0,0.026455607,0
seam,12.0,0.02214683,0
loom,8.0,0.018743363,0
kiss,5.0,0.062813844,0
cash,11.0,0.058793038,0
drug,2.0,0.055110599,0
chop,6.0,0.045733518,0
mars,3.0,0.043703317,0
rack,11.0,0.041376145,0
brig,3.0,0.034054463,0
calf,3.0,0.033851083,0
bran,3.0,0.027564299,0
rind,9.0,0.015750256,0
chow,4.0,0.040393441,0
song,8.0,0.060803441,0
dawn,7.0,0.050639837,0
coop,10.0,0.043600727,0
prop,7.0,0.035555516,0
jaws,0.0,0.032866579,0
plow,8.0,0.030341427,0
dune,9.0,0.025467504,0
gyro,0.0,0.016727561,0
inks,1.0,0.012580767,0
dean,9.0,0.053897518,0
male,18.0,0.052869819,0
veil,2.0,0.033851083,0
maze,10.0,0.032690196,0
shot,9.0,0.067736362,0
cell,10.0,0.056548658,0
bite,9.0,0.054306078,0
list,9.0,0.059626357,0
papa,0.0,0.054644445,0
swim,3.0,0.052362268,0
gang,8.0,0.05194291,0
sons,1.0,0.047941902,0
stew,6.0,0.039887691,0
polo,4.0,0.035130757,0
pint,9.0,0.034634006,0
welt,10.0,0.012580767,0
tang,9.0,0.031671496,0
file,11.0,0.054905419,0
mole,13.0,0.041646119,0
mesh,5.0,0.022593186,0
dust,10.0,0.050112489,0
brow,4.0,0.030177643,0
jade,3.0,0.038048271,0
visa,1.0,0.03663541,0
boob,6.0,0.033953673,0
curl,5.0,0.032069257,0
rook,10.0,0.028010655,0
tote,6.0,0.026047047,0
loin,4.0,0.017598675,0
teat,14.0,0.016727561,0
pine,14.0,0.039597919,0
clip,5.0,0.038928385,0
womb,3.0,0.035085762,0
nook,7.0,0.025906661,0
crew,5.0,0.055501161,0
poet,4.0,0.042691816,0
hump,7.0,0.036952179,0
digs,3.0,0.033851083,0
dick,13.0,0.056352477,0
camp,6.0,0.056084304,0
wash,11.0,0.054293479,0
sing,10.0,0.06112381,0
mate,17.0,0.051705333,0
root,12.0,0.043688918,0
swab,9.0,0.032134051,0
burp,4.0,0.02744911,0
back,12.0,0.084764493,0
shit,8.0,0.073486798,0
lady,2.0,0.067370998,0
kick,9.0,0.058899228,0
flab,8.0,0.012580767,0
cook,11.0,0.055171793,0
hail,13.0,0.044765213,0
loft,5.0,0.035470924,0
foal,7.0,0.015750256,0
shop,7.0,0.05643347,0
goop,8.0,0.022593186,0
jack,8.0,0.068524685,0
mama,0.0,0.061598963,0
post,12.0,0.052515254,0
trap,4.0,0.050112489,0
chef,2.0,0.044675222,0
grip,6.0,0.043080578,0
thug,3.0,0.035130757,0
pulp,3.0,0.030094851,0
mite,13.0,0.026714782,0
silo,5.0,0.02500315,0
dark,9.0,0.060367884,0
slab,11.0,0.030177643,0
pita,1.0,0.026320621,0
gear,11.0,0.046996994,0
leak,8.0,0.043435143,0
brie,2.0,0.024677382,0
swat,12.0,0.035879484,0
bong,9.0,0.033374129,0
loon,12.0,0.028118644,0
acid,3.0,0.043298357,0
memo,1.0,0.04009827,0
edge,1.0,0.0500027,0
dyke,3.0,0.032808985,0
wink,11.0,0.035217149,0
brim,5.0,0.024509998,0
cyst,2.0,0.019090729,0
lyre,2.0,0.007163298,0
poke,11.0,0.039140764,0
drop,3.0,0.063400587,0
mark,8.0,0.059764943,0
push,9.0,0.058587858,0
spot,6.0,0.057524163,0
bake,13.0,0.039767103,0
soak,3.0,0.035042566,0
puss,5.0,0.033748493,0
boil,6.0,0.039270352,0
clot,5.0,0.030012059,0
ford,10.0,0.044426846,0
cent,11.0,0.042904195,0
wept,4.0,0.028010655,0
curd,7.0,0.019090729,0
garb,1.0,0.016727561,0
dewy,2.0,0.014630766,0
acre,2.0,0.030094851,0
weld,5.0,0.021912853,0
aunt,5.0,0.056669246,0
feed,11.0,0.054608448,0
grin,5.0,0.033152751,0
roll,4.0,0.057736542,0
